grade,element,analysis,min,max,unit,source_file,anchor,snippet
SA-105,C,Heat,,0.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=C,0.35 max.
SA-105,Mn,Heat,0.60,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=Mn,0.60–1.05
SA-105,Si,Heat,0.10,0.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=Si,0.10–0.35
SA-105,P,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=P,0.035 max.
SA-105,S,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=S,0.040 max.
SA-105,Cr,Heat,,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=Cr,0.30 max.
SA-105,Mo,Heat,,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=Mo,0.12 max.
SA-105,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-105_SA-105M.md,Table1#Grade=SA-105#Element=V,0.08 max.
SA-106-A,C,Heat,,0.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=C,0.25
SA-106-C,C,Heat,,0.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=C,0.35
SA-106-A,Mn,Heat,0.27,0.93,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Mn,0.27–0.93
SA-106-B,Mn,Heat,0.29,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Mn,0.29–1.06
SA-106-C,Mn,Heat,0.29,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Mn,0.29–1.06
SA-106-A,P,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=P,0.035
SA-106-B,P,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=P,0.035
SA-106-C,P,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=P,0.035
SA-106-A,S,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=S,0.035
SA-106-B,S,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=S,0.035
SA-106-C,S,Heat,,0.035,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=S,0.035
SA-106-A,Si,Heat,0.10,,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Si,0.10
SA-106-B,Si,Heat,0.10,,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Si,0.10
SA-106-C,Si,Heat,0.10,,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Si,0.10
SA-106-A,Cr,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Cr,0.40
SA-106-B,Cr,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Cr,0.40
SA-106-C,Cr,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Cr,0.40
SA-106-A,Cu,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Cu,0.40
SA-106-B,Cu,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Cu,0.40
SA-106-C,Cu,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Cu,0.40
SA-106-A,Mo,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Mo,0.15
SA-106-B,Mo,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Mo,0.15
SA-106-C,Mo,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Mo,0.15
SA-106-A,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=Ni,0.40
SA-106-B,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=Ni,0.40
SA-106-C,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=Ni,0.40
SA-106-A,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=A#Element=V,0.08
SA-106-B,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=B#Element=V,0.08
SA-106-C,V,Heat,,0.08,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-106_SA-106M.md,Table1#Grade=C#Element=V,0.08
F22CL1,C,Heat,0.05,0.15,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=C,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,Mn,Heat,0.30,0.60,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=Mn,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
F22CL1,P,Heat,,0.040,%,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0006-0008.md,Table1#Grade=F22#Element=P,| F 22 | K21590 | 0.05–0.15 | 0.30–0.60 | 0.040 | 0.040 | 0.50 | … | 2.00–2.50 | 0.87–1.13 | … | … | … |
