spec,referenced_edition,available_edition,ref_code_folder,note,source_file,anchor,snippet
SA-105,2023,2023,output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023,,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/CONTENTS.md,CONTENTS.md#SA-105,SA-105/SA-105M
SA-106,2023,2023,output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023,,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/CONTENTS.md,CONTENTS.md#SA-106,SA-106/SA-106M
SA-106,2015,2015,output_astm/ASTM_A106_A106M_15,,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A106/A106M
SA-106,2019a,2019a,output_astm/ASTM_A106_A106M_19a_RED,,ref_code/output_astm/ASTM_A106_A106M_19a_RED/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A106/A106M
SA-182,2016a,2016a,output_astm/ASTM_A182_A182M_16a,,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A182/A182M
SA-182,2014b,2014b,output_astm/ASTM_A182_A182M_14b,,ref_code/output_astm/ASTM_A182_A182M_14b/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A182/A182M
SA-234,2014,2014,output_astm/ASTM_A234_A234M_14,,ref_code/output_astm/ASTM_A234_A234M_14/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A234/A234M
SA-234,2015,2015,output_astm/ASTM_A234_A234M_15,,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A234/A234M
SA-335,2015a,2015a,output_astm/ASTM_A335_A335M_15a,,ref_code/output_astm/ASTM_A335_A335M_15a/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A335/A335M
SA-335,2018a,2018a,output_astm/ASTM_A335_A335M_18a,,ref_code/output_astm/ASTM_A335_A335M_18a/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A335/A335M
SA-335,2018b,2018b,output_astm/ASTM_A335_A335M_18b,,ref_code/output_astm/ASTM_A335_A335M_18b/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A335/A335M
SA-335,2019,2019,output_astm/ASTM_A335_A335M_19,,ref_code/output_astm/ASTM_A335_A335M_19/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A335/A335M
SA-335,2019a,2019a,output_astm/ASTM_A335_A335M_19a,,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A335/A335M
SA-350,2012,2012,output_astm/ASTM_A350_12,,ref_code/output_astm/ASTM_A350_12/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A350/A350M
SA-350,2014,2014,output_astm/ASTM_A350_A350M_14,,ref_code/output_astm/ASTM_A350_A350M_14/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A350/A350M
SA-672,2014,2014,output_astm/ASTM_A672_A672M_14,,ref_code/output_astm/ASTM_A672_A672M_14/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A672/A672M
SA-691,2007,2007,output_astm/ASTM_A691_07,,ref_code/output_astm/ASTM_A691_07/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A691
SA-691,2009,2009,output_astm/ASTM_A691_A691M_09_R14,,ref_code/output_astm/ASTM_A691_A691M_09_R14/raw_pages/pages_0001-0005.md,pages_0001-0005.md#table2,TABLE 2 Heat Treatment Parameters
ASME B31.1,2022,2022,output_ASME_B31.1_2022,,ref_code/output_ASME_B31.1_2022/raw_pages/pages_0001-0005.md,pages_0001-0005.md#title,ASME B31.1-2022
ASME B31.1,2024,2024,output_ASME_B31.1_2024,,ref_code/output_ASME_B31.1_2024/raw_pages/pages_0001-0005.md,pages_0001-0005.md#title,ASME B31.1-2024
SA-105,2014,2014,output_astm/ASTM_A105_A105M_14,,ref_code/output_astm/ASTM_A105_A105M_14/raw_pages/pages_0001-0005.md,pages_0001-0005.md#designation,A105/A105M
