cert_grade_pattern,asme_spec,astm_spec,ref_code_folder,fallback_year,mps_override_required,source_file,anchor,snippet
SA-?106\s*Gr\.?\s*A,SA-106,A106,output_astm/ASTM_A106_A106M_15,2015,N,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,Table1#Grade=A,Grade A | Grade B | Grade C
SA-?106\s*Gr\.?\s*B,SA-106,A106,output_astm/ASTM_A106_A106M_15,2015,N,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,Table1#Grade=B,Grade A | Grade B | Grade C
SA-?106\s*Gr\.?\s*C,SA-106,A106,output_astm/ASTM_A106_A106M_15,2015,N,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,Table1#Grade=C,Grade A | Grade B | Grade C
SA-?335\s*P11,SA-335,A335,output_astm/ASTM_A335_A335M_19a,2019,N,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,Table1#Grade=P11,P11 | K11597
SA-?335\s*P22,SA-335,A335,output_astm/ASTM_A335_A335M_19a,2019,N,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,Table1#Grade=P22,P22 | K21590
SA-?335\s*P91,SA-335,A335,output_astm/ASTM_A335_A335M_19a,2019,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,Table1#Grade=P91,P91 Type 1 | K91560
SA-?335\s*P92,SA-335,A335,output_astm/ASTM_A335_A335M_19a,2019,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,Table1#Grade=P92,P92 | K92460
SA-?182\s*F11,SA-182,A182,output_astm/ASTM_A182_A182M_16a,2016,N,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0006-0010.md,Table1#Grade=F11,F 11 | S32100
SA-?182\s*F22,SA-182,A182,output_astm/ASTM_A182_A182M_16a,2016,N,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0006-0010.md,Table1#Grade=F22,F 22 Class 1 | K21590
SA-?182\s*F91,SA-182,A182,output_astm/ASTM_A182_A182M_16a,2016,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0006-0010.md,Table1#Grade=F91,F 91 | K91560
SA-?182\s*F92,SA-182,A182,output_astm/ASTM_A182_A182M_16a,2016,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0006-0010.md,Table1#Grade=F92,F 92 | K92460
SA-?182\s*F304,SA-182,A182,output_astm/ASTM_A182_A182M_16a,2016,N,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0006-0010.md,Table1#Grade=F304,F 304 | S30400
SA-?105,SA-105,A105,output_astm/ASTM_A105_A105M_14,2014,N,ref_code/output_astm/ASTM_A105_A105M_14/raw_pages/pages_0001-0005.md,Scope#Grade=A105,A105/A105M
SA-?234\s*WP11,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,N,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Table1#Grade=WP11,WP11 CL1
SA-?234\s*WP22,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,N,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Table1#Grade=WP22,WP22 Class 2
(?:SA-?234\s*)?WPB\b,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,N,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Table1#Grade=WPB,"WPB, WPC, and WPR"
(?:SA-?234\s*)?WPC\b,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,N,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Table1#Grade=WPC,"WPB, WPC, and WPR"
SA-?234\s*WP91,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Scope#Grade=WP91,WP91 shall be normalized
SA-?234\s*WP92,SA-234,A234,output_astm/ASTM_A234_A234M_15,2015,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,Scope#Grade=WP92,WP92 shall be normalized
SA-?672\s*B70,SA-672,A672,output_astm/ASTM_A672_A672M_14,2014,N,ref_code/output_astm/ASTM_A672_A672M_14/raw_pages/pages_0001-0005.md,Table1#Grade=B70,"B 70 | plain carbon, killed"
