grade,material_type,nde_method,required,notch_type,notch_depth_rule,source_file,anchor,snippet
P11,MILL,UT,Y,GE,"max(5% wall, 0.3mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P11#Method=UT#Type=MILL,"Grades P91 Type 1 and Type 2, P92, P115, P911, and P122 shall be examined by an examination method in accordance with Practice E213."
P11,STOCK,UT,Y,Code,"max(12.5% wall, 0.1mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P11#Method=UT#Type=STOCK,"Grades P91 Type 1 and Type 2, P92, P115, P911, and P122 shall be examined by an examination method in accordance with Practice E213."
P22,MILL,UT,Y,GE,"max(5% wall, 0.3mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P22#Method=UT#Type=MILL,"Grades P91 Type 1 and Type 2, P92, P115, P911, and P122 shall be examined by an examination method in accordance with Practice E213."
P22,STOCK,UT,Y,Code,"max(12.5% wall, 0.1mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P22#Method=UT#Type=STOCK,"Grades P91 Type 1 and Type 2, P92, P115, P911, and P122 shall be examined by an examination method in accordance with Practice E213."
P91,MILL,UT,Y,GE,"max(5% wall, 0.3mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P91#Method=UT#Type=MILL,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
P91,STOCK,UT,Y,Code,"max(12.5% wall, 0.1mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P91#Method=UT#Type=STOCK,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
P92,MILL,UT,Y,GE,"max(5% wall, 0.3mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P92#Method=UT#Type=MILL,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
P92,STOCK,UT,Y,Code,"max(12.5% wall, 0.1mm)",ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P92#Method=UT#Type=STOCK,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
P11,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P11#Method=Hydrostatic,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to the hydrostatic test, except as provided in in 12.1.3."
P22,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P22#Method=Hydrostatic,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to the hydrostatic test, except as provided in in 12.1.3."
P91,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P91#Method=Hydrostatic,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
P92,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0006-0010.md,NDE#Grade=P92#Method=Hydrostatic,"Each length of pipe with outside diameter greater than 10 in. [250 mm] and wall thickness less than or equal to 0.75 in. [19 mm], shall be submitted to both the hydrostatic test and the ultrasonic test as shown in Section 13."
A,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,NDE#Grade=A106-A#Method=Hydrostatic,each length of pipe shall be subjected to the hydrostatic test without leakage through the pipe wall.
B,ANY,Hydrostatic,Y,,,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,NDE#Grade=A106-B#Method=Hydrostatic,each length of pipe shall be subjected to the hydrostatic test without leakage through the pipe wall.
B70,ANY,UT,Y,,,ref_code/output_astm/ASTM_A672_A672M_14/raw_pages/pages_0006-0007.md,NDE#Grade=B70#Method=UT,S10. Straight Beam Ultrasonic Examination of Flat Plate
P11,ANY,PMI,Y,,,plugin/cert-review-skill/references/conventions.md,NDE#Grade=P11#Method=PMI,PMI | 100% 수행
P22,ANY,PMI,Y,,,plugin/cert-review-skill/references/conventions.md,NDE#Grade=P22#Method=PMI,PMI | 100% 수행
P91,ANY,PMI,Y,,,plugin/cert-review-skill/references/conventions.md,NDE#Grade=P91#Method=PMI,PMI | 100% 수행
P92,ANY,PMI,Y,,,plugin/cert-review-skill/references/conventions.md,NDE#Grade=P92#Method=PMI,PMI | 100% 수행
